security_id,symbol
11035,JPYINR-JUL2025-62-CE
1104,USDINR-OCT2025-FUT
11053,JPYINR-JUL2025-62-PE
11054,JPYINR-JUL2025-62.25-CE
11055,GBPINR-JUL2025-111.25-CE
11056,GBPINR-JUL2025-111.25-PE
11057,GBPINR-JUL2025-111.5-CE
11058,GBPINR-JUL2025-111.5-PE
11059,GBPINR-JUL2025-111.75-CE
1106,EURINR-AUG2025-91-CE
11060,JPYINR-JUL2025-62.25-PE
11063,JPYINR-JUL2025-62.5-CE
11068,JPYINR-JUL2025-62.5-PE
11069,JPYINR-JUL2025-62.75-CE
11073,GBPINR-JUL2025-111.75-PE
11074,GBPINR-JUL2025-112-CE
11075,GBPINR-JUL2025-112-PE
11076,GBPINR-JUL2025-112.25-CE
11077,GBPINR-JUL2025-112.25-PE
1108,EURINR-AUG2025-91-PE
11081,GBPINR-JUL2025-112.5-CE
11082,GBPINR-JUL2025-112.5-PE
11084,GBPINR-JUL2025-112.75-CE
11098,JPYINR-JUL2025-62.75-PE
11099,JPYINR-JUL2025-63-CE
1110,JPYINR-DEC2025-60.5-PE
11100,JPYINR-JUL2025-63-PE
11101,JPYINR-JUL2025-63.25-CE
11102,JPYINR-JUL2025-63.25-PE
11103,GBPINR-JUL2025-112.75-PE
11104,GBPINR-JUL2025-113-CE
11107,JPYINR-JUL2025-63.5-CE
11108,GBPINR-JUL2025-113-PE
11109,GBPINR-JUL2025-113.25-CE
11110,JPYINR-JUL2025-63.5-PE
11111,JPYINR-AUG2025-61-PE
11112,JPYINR-AUG2025-61.25-CE
11113,JPYINR-JUL2025-63.75-CE
11114,JPYINR-JUL2025-63.75-PE
11115,JPYINR-JUL2025-64-CE
11116,GBPINR-JUL2025-113.25-PE
11117,GBPINR-JUL2025-113.5-CE
1112,GBPINR-JUN2026-111.5-PE
1114,EURINR-DEC2025-95-CE
1115,GBPINR-NOV2025-FUT
1116,USDJPY-SEP2025-131-CE
